title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Everything vs. Nothing,"$636,500","$200,000","$300,000",Signed and Dated,"30.00"" x 40.25""",1991,Acrylic / Paper,801,"Christie's New York, Rockefeller Center",05/18/2018
MIRACLE,"$435,000","$300,000","$400,000",Signed and Dated,"14.25"" x 22.00""",1975,Pastel / Paper,101,Sotheby's New York,05/17/2018
"CASTOR-OIL-STAINED SHEET, SPLINTERS","$325,000","$250,000","$350,000",Signed and Dated,"11.50"" x 29.00""",1972,Gunpowder and castor oil on paper / Paper,103,Sotheby's New York,05/17/2018
FALLING CAMERAS; RISING BINOCULARS,"$495,000","$250,000","$350,000",Signed and Dated,"40.00"" x 59.88""",1982,Dry pigment / Paper,150,Sotheby's New York,05/17/2018
SELMA AND VINE ST.,"$212,500","$180,000","$250,000",Signed and Dated,"22.00"" x 18.00""",1999,Acrylic / Canvas,163,Sotheby's New York,05/17/2018
FOUNTAIN OF CRYSTAL,"$1,335,000","$800,000","$1,200,000",Signed and Dated,"30.13"" x 36.13""",2009,Acrylic / Canvas,413,Sotheby's New York,05/17/2018
Run Any Where,"$325,000","$120,000","$180,000",Signed and Dated,"22.38"" x 30.00""",1984,dry pigment / Paper,133,Phillips New York,05/16/2018
Strong Smell of Fish—Strong Smell of Data Processing Forms,"$168,750","$150,000","$200,000",Signed Initials,"40.00"" x 60.00""",1982,dry pigment / Paper,135,Phillips New York,05/16/2018
Divers,"$275,000","$150,000","$200,000",Signed Lower Right,"60.00"" x 40.25""",1985,dry pigment / Paper,136,Phillips New York,05/16/2018
Busted Glass #6,"$22,500","$15,000","$20,000",Signed and Dated,"12.13"" x 9.25""",2007,Acrylic / Board,142,Phillips New York,05/16/2018
"S (on ""Floor's Spain"" - 1971 Edition), 2001","$22,500","$12,000","$18,000",Unavailable,"9.25"" x 8.75""",2001,bleach on book cover in artist's frame,73,Bonhams California,05/02/2018
Fruit Metrecal Hollywood,"$8,750","$5,000","$7,000",Signed and Dated,"10.00"" x 37.50""",1971,"Screenprint in grape jam and apricot jam and Metrecal, on Copperplate Deluxe paper",332,Phillips New York,04/24/2018
"Mews, from News, Mews, Pews, Brews, Stews & Dues","$3,250","$3,000","$5,000",Signed and Dated,"18.00"" x 27.00""",1970,"Screenprint in bolognese sauce and black currant-pie filling and cherry-pie filling and unmixed raw egg, on Silverbrook Antique Finish paper,",333,Phillips New York,04/24/2018
SPEED SLEEP #2,"$295,310","$131,250","$196,880",Signed and Dated,"20.08"" x 30.12""",2005,Acrylic / Board,118,"Sotheby's London, New Bond Street",03/08/2018
THE END #37,"$295,310","$288,750","$420,000",Signed and Dated,"23.82"" x 29.92""",2003,"Acrylic  , ink and surface abrasion / Board",122,"Sotheby's London, New Bond Street",03/08/2018
MOUNT SOMETHING OR OTHER,-not sold-,"$1,050,000","$1,575,000",Signed and Dated,"28.39"" x 47.99""",2004,Acrylic / Canvas,47,"Sotheby's London, New Bond Street",03/07/2018
Collision Frame Repair,"$515,480","$393,750","$656,250",Signed and Dated,"22.05"" x 32.05""",2010,Acrylic / Canvas,177,"Christie's London, King Street",03/07/2018
FIS,"$62,340","$45,940","$59,060",Signed and Dated,"11.14"" x 15.00""",2015,Acrylic  and dry pigment / Paper,202,"Christie's London, King Street",03/07/2018
HONEY,"$471,000","$250,000","$350,000",Signed and Dated,"13.75"" x 15.13""",1976,"gunpowder, graphite and pastel / Paper",12,Sotheby's New York,03/02/2018
POPPED PANE,"$27,500","$22,000","$28,000",Signed and Dated,"12.13"" x 9.25""",2007,Acrylic  dry pigment on museum board / Board,272,Sotheby's New York,03/02/2018
Home with Complete Electronic Security System,-not sold-,"$450,000","$550,000",unknown,"49.00"" x 37.00""",1982,Pastel / Paper,6,"Christie's New York, Rockefeller Center",03/01/2018
The End #45,-not sold-,"$220,000","$280,000",Signed and Dated,"23.88"" x 30.00""",2004,Acrylic  and ink / Board,47,"Christie's New York, Rockefeller Center",03/01/2018
Fracture,"$25,000","$20,000","$30,000",Signed and Dated,"12.13"" x 9.38""",2007,"Acrylic  , dry pigment and graphite / Board",154,"Christie's New York, Rockefeller Center",03/01/2018
Cheese Mold Standard with Olive,"$106,250","$50,000","$70,000",Signed Lower Left,Dimensions not available,1969,13-color screenprint on wove paper,46,Los Angeles Modern Auctions (LAMA),02/25/2018
OH/NO,"$1,375","$1,500","$2,500",Signed and Dated,"5.25"" x 7.25"" x 2.25""",2008,Sculptural book with double fore-edge printing and silver gilt edges.,13,Phillips New York,12/14/2017
PORCH CROP,"$300,000","$150,000","$200,000",Signed and Dated,"20.25"" x 30.00""",2004,Acrylic  on museum board,247,Sotheby's New York,11/17/2017
SHADES OF MEANING,"$591,000","$300,000","$400,000",Signed and Dated,"11.50"" x 29.13""",1973,gunpowder / Paper,9,Sotheby's New York,11/16/2017
LIGHT LEAKS,"$3,953,700","$1,500,000","$2,000,000",Signed and Dated,"40.00"" x 72.00""",1993,Acrylic  and tinted varnish / Canvas,30,Sotheby's New York,11/16/2017
BRAVE MAN'S PORCH,"$6,550,400","$4,000,000","$6,000,000",Signed and Dated,"82.00"" x 50.00""",1996,Acrylic / Canvas,56,Sotheby's New York,11/16/2017
Wee Wee,"$468,500","$350,000","$550,000",Signed and Dated,"14.25"" x 22.75""",1967,Gunpowder / Paper,610,"Christie's New York, Rockefeller Center",11/16/2017
Yes,"$792,500","$300,000","$500,000",Signed and Dated,"60.00"" x 40.25""",1986,Acrylic  and dry pigment / Paper,637,"Christie's New York, Rockefeller Center",11/16/2017
A Question of Cities,"$948,500","$600,000","$800,000",Signed and Dated,"22.00"" x 80.00""",1979,Oil / Canvas,664,"Christie's New York, Rockefeller Center",11/16/2017
City with the Jitters,"$2,172,500","$1,500,000","$2,000,000",Signed and Dated,"36.00"" x 40.00""",1984,Oil / Canvas,668,"Christie's New York, Rockefeller Center",11/16/2017
Suds,"$564,500","$250,000","$350,000",Signed and Dated,"11.50"" x 29.00""",1970,Pastel  and gunpowder / Paper,677,"Christie's New York, Rockefeller Center",11/16/2017
Cycle,"$564,500","$250,000","$350,000",Signed and Dated,"11.50"" x 29.00""",1970,Pastel  and gunpowder / Paper,678,"Christie's New York, Rockefeller Center",11/16/2017
Ice,"$1,932,500","$600,000","$800,000",Signed and Dated,"48.13"" x 36.13""",1993,Acrylic / Canvas,843,"Christie's New York, Rockefeller Center",11/16/2017
"S-Farm, 1985","$336,500","$200,000","$300,000",Signed and Dated,"40.25"" x 60.00""",1985,Acrylic  and dry pigment / Paper,6,Bonhams New York,11/15/2017
"A Nightclub Named ""The Universe"", 1982","$444,500","$200,000","$300,000",Signed and Dated,"60.00"" x 40.00""",1982,dry pigment / Paper,7,Bonhams New York,11/15/2017
Dixie Red Seville,-not sold-,"$3,000,000","$5,000,000",Signed and Dated,"64.00"" x 64.00""",1985,Oil / Canvas,53B,"Christie's New York, Rockefeller Center",11/15/2017
"Amphetamines, Marble","$1,332,500","$1,000,000","$1,500,000",Signed and Dated,"20.00"" x 24.00""",1969,Oil / Canvas,54B,"Christie's New York, Rockefeller Center",11/15/2017
Doubles,"$212,500","$200,000","$300,000",Signed and Dated,"60.00"" x 40.25""",1985,Acrylic  and dry pigment / Paper,118,Phillips New York,11/15/2017
"Pico, Hoover, Alvarado",-not sold-,"$300,000","$400,000",Signed and Dated,"40.13"" x 60.13""",1999,Acrylic / Paper,119,Phillips New York,11/15/2017
Cass,-not sold-,$90,$180,Signed Lower Right,"12.52"" x 40.75""",1972,Acrylic  on silkscreen / Paper,45,Seoul Auction,11/09/2017
1984 (E. 6),"$32,500","$20,000","$30,000",Signed and Dated,"14.00"" x 17.75""",1967,Lithograph with handcoloring,370,Sotheby's New York,10/23/2017-10/24/2017
Pepto-Caviar Hollywood,"$22,500","$14,000","$18,000",Signed and Dated,"10.00"" x 37.50""",1970,"Screenprint with Pepto-Bismol and caviar in colors, on Copperplate Deluxe paper,",74,Phillips New York,10/17/2017
Do As Told Or Suffer,"$163,290","$26,130","$39,190",Signed and Titled,"20.00"" x 15.83""",1997,Bleach on rayon / Board,220,"Christie's London, King Street",10/07/2017
Untitled,"$70,210","$58,780","$84,910",Signed and Dated,"19.13"" x 24.17""",1960,Ink / Paper,225,"Christie's London, King Street",10/07/2017
Devil,"$357,000","$326,930","$457,700",Signed and Dated,"21.14"" x 28.50""",1975,Blackberry juice / Paper,4,Phillips London,10/06/2017
Punched Glass,"$22,500","$15,000","$20,000",Signed and Dated,"12.13"" x 9.38""",2007,Acrylic / Paperboard,10,"Christie's New York, Rockefeller Center",09/28/2017
TOPIC,"$262,500","$100,000","$150,000",Signed and Dated,"16.00"" x 20.00""",2012,Bleach on linen-covered board,204,Sotheby's New York,09/27/2017
BUSTED GLASS #32,"$35,000","$18,000","$25,000",Signed and Dated,"12.13"" x 9.25""",2009,Acrylic / Board,278,Sotheby's New York,09/27/2017
What Say - Say What,"$17,840","$6,490","$9,080",Signed and Titled,"2.36"" x 9.25"" x 11.30""",2004,"hardbound artist's book of blank pages, ink on the exposed edges of the book block",227,Phillips London,06/30/2017
"MOM (The ABC Murders, 1983 Edition)",,"$15,570","$23,360",unknown,"8.74"" x 5.59"" x 1.06""",1992,Oil  on book,228,Phillips London,06/30/2017
Thus,"$51,900","$38,930","$64,880",Signed and Dated,"11.18"" x 14.17""",2007,"Oil  on printed canvas support, in artist's frame / Canvas",231,Phillips London,06/30/2017
PUNK,"$393,290","$152,860","$229,280",Signed and Dated,"8.98"" x 7.01""",1966,Pencil  and graphite / Paper,2,"Sotheby's London, New Bond Street",06/21/2017
BLUE SCREAM,"$1,998,270","$891,660","$1,273,800",Signed and Dated,"10.28"" x 9.69""",1964,Tempera  and pencil / Paper,13,"Sotheby's London, New Bond Street",06/21/2017
Insect Slant,"$2,095","$1,117","$1,341",unknown,"21.85"" x 29.80""",not given,Multiple (cardboard),241,Finarte,05/31/2017
The 1990s,"$160,500","$192,600","$321,000",Signed and Dated,"22.83"" x 28.74""",2000,Acrylic  and dry pigment / Paper,8,Phillips London,05/28/2017
"Nox (Night), 1992","$52,350","$49,080","$70,890",Signed and Dated,"14.37"" x 14.53""",1992,Acrylic  and powdered pigment / Paper,555,Farsettiarte,05/26/2017-05/27/2017
Evolution Revolution,-not sold-,"$300,000","$500,000",Signed Lower Right,"24.00"" x 36.00""",2013,Acrylic / Paper,77044,Inquire about post-auction sale,05/22/2017
Hollywood,"$200,000","$80,000","$120,000",Signed Lower Right,"23.00"" x 29.00""",1981,Ink / Paper,77047,Heritage Auctions,05/22/2017
ROMEO,"$1,212,500","$200,000","$300,000",Signed and Dated,"23.00"" x 29.00""",1981,Pastel / Paper,113,Sotheby's New York,05/19/2017
PAPERS,"$756,500","$150,000","$200,000",Signed and Dated,"23.00"" x 29.00""",1972,gunpowder / Paper,114,Sotheby's New York,05/19/2017
MOTEL MANAGEMENT SCHOOL,"$336,500","$150,000","$200,000",Signed and Dated,"50.00"" x 38.00""",1982,Pastel / Paper,115,Sotheby's New York,05/19/2017
CORN EYES,"$396,500","$100,000","$150,000",Signed and Titled,"23.00"" x 29.00""",1977,Pastel / Paper,116,Sotheby's New York,05/19/2017
Cherry,"$898,000","$700,000","$900,000",Inscribed and Signed,"14.25"" x 22.75""",1967,Gunpowder / Paper,19,Phillips New York,05/18/2017
"COSMO, SELMA, VINE","$1,452,500","$1,800,000","$2,500,000",Signed and Dated,"70.00"" x 138.00""",2000,Acrylic / Canvas,22,Sotheby's New York,05/18/2017
Teresa,-not sold-,"$150,000","$200,000",Signed on Reverse,"16.00"" x 20.13""",1995,Acrylic / Linen,597,"Christie's New York, Rockefeller Center",05/18/2017
Woman from History,-not sold-,"$200,000","$300,000",Signed Lower Right,"60.00"" x 40.00""",1986,Acrylic  and dry pigment / Paper,598,"Christie's New York, Rockefeller Center",05/18/2017
Nightmares and Migraines,"$370,000","$200,000","$300,000",Signed and Dated,"40.00"" x 60.00""",1985,Acrylic  and dry pigment / Paper,175,Phillips New York,05/17/2017
Three Works: (i) Vowel #54 (E); (ii) Vowel #86 (Y); (iii) Vowel #59 (E),"$50,000","$40,000","$60,000",Signed and Dated,Dimensions not available,1996,Acrylic  on book cover,190,Phillips New York,05/17/2017
S,"$150,000","$60,000","$80,000",Signed and Dated,"20.00"" x 17.88""",2001,Acrylic / Linen,277,Phillips New York,05/17/2017
OH/NO,-not sold-,"$2,000","$3,000",Signed and Dated,"5.25"" x 7.25"" x 2.25""",2008,Sculptural book with double fore-edge printing and silver gilt edges.,332,Phillips New York,04/18/2017
Untitled,"$111,350","$112,500","$169,200",Signed and Dated,"14.09"" x 17.95""",2006,Acrylic  on raw canvas,33,Seoul Auction,03/24/2017
Many Too Many Too Many Facts,"$129,360","$73,050","$97,400",Signed and Dated,"22.36"" x 15.16""",2015,Acrylic  and dry pigment / Paper,166,Phillips London,03/10/2017
THE END #46,"$273,090","$218,720","$303,780",Signed and Dated,"23.98"" x 30.00""",2004,"Acrylic  , ink and graphite / Paper",120,"Sotheby's London, New Bond Street",03/09/2017
AVERAGES,"$433,490","$425,290","$546,800",Signed and Dated,"32.01"" x 120.00""",1987,Acrylic / Canvas,222,"Sotheby's London, New Bond Street",03/09/2017
SCALES OF JUSTICE,"$451,430","$243,260","$364,890",Signed and Dated,"22.44"" x 28.74""",1975,gunpowder / Paper,60,"Sotheby's London, New Bond Street",03/08/2017
Wha...,"$60,820","$48,650","$72,980",Signed and Dated,"11.02"" x 14.96""",2013,Acrylic  and dry pigment / Paper,209,"Christie's London, King Street",03/08/2017
BROKEN PENCIL,"$1,332,500","$350,000","$450,000",Signed and Dated,"12.38"" x 11.63""",1963,Oil / Paper,73,Sotheby's New York,03/02/2017
American service,-not sold-,"$157,500","$210,000",Signed and Dated,"24.02"" x 29.92""",not given,Acrylic / Paper,50,Pierre Berge,12/15/2016
The End #87,"$107,800","$88,000","$110,000",Signed and Dated,"12.52"" x 15.16""",2010,"Acrylic  , ink and surface abrasion on photography / Paper",66,Bukowski Stockholm,11/28/2016
THE SIXTIES AND SEVENTIES,"$1,032,500","$600,000","$800,000",Signed and Dated,"22.00"" x 80.00""",1979,Oil / Canvas,138,Sotheby's New York,11/18/2016
ZERO XERO,"$384,500","$150,000","$200,000",Signed and Dated,"60.00"" x 40.00""",1982,Acrylic  and dry pigment / Paper,198,Sotheby's New York,11/18/2016
YES TREE,"$972,500","$800,000","$1,200,000",Signed and Dated,"50.00"" x 40.00""",1983-1986,Oil  and enamel / Canvas,199,Sotheby's New York,11/18/2016
DIDJA?,"$3,072,500","$2,500,000","$3,500,000",Signed and Dated,"72.00"" x 72.00""",1987,Oil  and acrylic / Canvas,33,Sotheby's New York,11/17/2016
MIRROR-IMAGE LEVEL,"$3,725,000","$3,000,000","$4,000,000",Signed and Dated,"64.00"" x 72.00""",2003,Acrylic / Canvas,45,Sotheby's New York,11/17/2016
"Peas, Asparagus",-not sold-,"$600,000","$800,000",Signed and Dated,"41.88"" x 84.13""",1991,Acrylic / Canvas,29,Phillips New York,11/16/2016
Sunset De Longpre,"$199,500","$180,000","$220,000",Signed and Dated,"16.00"" x 24.00""",2001,Acrylic / Linen,220,"Christie's New York, Rockefeller Center",11/16/2016
Truth,-not sold-,"$4,000,000","$6,000,000",Signed and Dated,"50.00"" x 60.50""",1973,Oil / Canvas,33a,"Christie's New York, Rockefeller Center",11/15/2016
Point Blank,-not sold-,"$4,000,000","$6,000,000",Signed and Dated,"72.00"" x 72.00""",1988,Acrylic  and oil / Canvas,40a,"Christie's New York, Rockefeller Center",11/15/2016
"Spooning, 1973","$4,375","$4,000","$6,000",Signed and Dated,"12.00"" x 15.63""",1973,Lithograph with hand-coloring (framed),631,Rago Arts and Auction Center,11/05/2016
A collection of thirteen artist's books,-not sold-,"$6,000","$9,000",unknown,Dimensions not available,1964/78,"A group of 13 artist's books by Ed Ruscha, including one collaboration with Lawrence Weiner, all in soft cover, several with the original glassine dust jackets.",314,Phillips New York,10/26/2016
Zoot Soot,"$4,750","$4,000","$6,000",Signed and Dated,"10.75"" x 13.75""",2015,"Die-Cut letterpress, on handmade paper with colored threads, the full sheet.",317,Phillips New York,10/26/2016
Crescent Heights Becomes Laurel Canyon,"$468,750","$150,000","$200,000",Signed and Dated,"18.00"" x 20.00""",2000,Acrylic / Linen,137,Los Angeles Modern Auctions (LAMA),10/09/2016
Eight Trembling Individuals,-not sold-,"$250,000","$350,000",Signed on Reverse,"22.75"" x 28.75""",1977,Blackberry juice / Paper,140,Los Angeles Modern Auctions (LAMA),10/09/2016
Glass #7,"$31,250","$25,000","$35,000",Signed Lower Right,"7.50"" x 10.50""",1993,Acrylic / Paper,143,Los Angeles Modern Auctions (LAMA),10/09/2016
EL PASO TO MIAMI,-not sold-,"$200,000","$300,000",Signed on Reverse,"19.88"" x 24.00""",2000,Acrylic / Linen,39,Sotheby's New York,09/29/2016
Busted Glass #28,"$35,000","$30,000","$50,000",Signed and Dated,"12.13"" x 9.25""",2008,Acrylic / Paper,295,"Christie's New York, Rockefeller Center",09/28/2016
Dare,-not sold-,"$100,000","$150,000",Signed and Dated,"10.00"" x 11.50""",2001,Acrylic  and dry pigment / Paper,298,"Christie's New York, Rockefeller Center",09/28/2016
Zoot Suit,-not sold-,"$5,100","$6,560",Signed and Dated,"10.83"" x 13.58"" x 0.59""",2015,Die-cut letterpress on handmade paper with coloured threads,100,Bonhams Bond Street,06/22/2016
HOTEL,"$1,930,000","$700,000","$1,000,000",Signed and Titled,"10.00"" x 12.00""",1961,Oil / Paper,107,Sotheby's New York,05/12/2016
ACE,"$298,000","$200,000","$300,000",Signed and Dated,"20.00"" x 30.00""",1990,Acrylic  and dry pigment / Paper on board,176,Sotheby's New York,05/12/2016
"If, If","$1,505,000","$2,000,000","$3,000,000",Signed and Dated,"48.00"" x 144.00""",1996,Acrylic / Canvas,60B,"Christie's New York, Rockefeller Center",05/10/2016
Cheese Mold Standard with Olive,"$66,000","$20,000","$30,000",Signed and Dated,"19.50"" x 37.00""",1969,color screenprint / Paper,180,John Moran Auctioneers,03/22/2016
ASPHALT VALLEY #2,"$87,500","$50,000","$70,000",Signed and Dated,"11.13"" x 15.00""",2015,"Acrylic  , dry pigment and pencil / Paper",241,Sotheby's New York,03/03/2016
"Spots, 1972",-not sold-,"$250,000","$350,000",Signed Initials,"11.38"" x 29.00""",1972,"Pastel  , gunpowder and graphite / Paper",8,Phillips New York,02/29/2016
Babycakes,"$1,875","$2,000","$3,000",unknown,"7.50"" x 6.75""",1970,"hole punch bound paper, green flocking / Paper",163,Wright,02/25/2016
Advertisement,"$4,375","$3,000","$5,000",Inscribed,"9.50"" x 7.25""",2012,Colored Pencil  and photograph / Paper,264,Los Angeles Modern Auctions (LAMA),02/21/2016
SMART ENOUGH,"$153,660","$72,310","$101,230",Signed and Dated,"7.99"" x 8.11""",2010,Acrylic / Linen,180,"Sotheby's London, New Bond Street",02/11/2016
N NO,"$215,480","$216,930","$289,240",Signed and Dated,"20.08"" x 24.02""",1993,Acrylic  and oil / Linen,186,"Sotheby's London, New Bond Street",02/11/2016
SEAFOOD STOCK,-not sold-,"$724,900","$1,014,860",Signed and Dated,"30.12"" x 29.92""",1986,Acrylic / Canvas,31,"Sotheby's London, New Bond Street",02/10/2016
REMEMBER AND FORGET (5),-not sold-,"$362,450","$507,430",unknown,Dimensions not available,1986,Lacquer / Wood,59,"Sotheby's London, New Bond Street",02/10/2016
"Zoot Soot , 2015",-not sold-,"$5,720","$8,590",Signed and Dated,"10.83"" x 13.58"" x 0.59""",2015,Die-cut letterpress on handmade paper with coloured threads,209,Phillips London,01/21/2016
S (on Fodor's Spain - 1971 Edition),"$12,500","$12,000","$18,000",unknown,"7.25"" x 4.88"" x 1.50""",2001,Bleach on book cover,70079,Heritage Auctions,11/14/2015
Pepto-Caviar Hollywood,"$8,750","$5,000","$7,000",Signed and Dated,"10.00"" x 37.50""",1970,Screenprint in colors with screens of pepto-bismol and caviar on Copperplate Deluxe paper,70273,Heritage Auctions,11/14/2015
LOOK,"$150,000","$100,000","$150,000",Signed Initials,"8.25"" x 8.25""",1963,Ink / Paper,115,Sotheby's New York,11/12/2015
SUNSET TO PICO,"$2,770,000","$1,000,000","$1,500,000",Signed and Dated,"60.00"" x 112.00""",1999,Acrylic / Canvas,207,Sotheby's New York,11/12/2015
UNTITLED,"$790,000","$800,000","$1,200,000",Signed and Dated,"64.00"" x 78.00""",1986,Acrylic / Canvas,236,Sotheby's New York,11/12/2015
WON'T NOW,"$100,000","$70,000","$90,000",Signed and Dated,"15.00"" x 23.00""",2004,Acrylic  and graphite / Board,259,Sotheby's New York,11/12/2015
VICTORY,"$3,310,000","$2,000,000","$3,000,000",Signed and Dated,"64.00"" x 64.00""",1988,Acrylic / Canvas,13,Sotheby's New York,11/11/2015
SAFE,"$1,690,000","$1,200,000","$1,800,000",Signed and Dated,"28.00"" x 42.00""",1989,Acrylic / Canvas,31,Sotheby's New York,11/11/2015
EXTREME,"$377,000","$150,000","$200,000",Signed and Dated,"14.50"" x 23.00""",1973,gunpowder / Paper,404,"Christie's New York, Rockefeller Center",11/11/2015
SEVERAL FLAMES,"$269,000","$180,000","$250,000",Signed and Dated,"22.63"" x 28.75""",1973,Pastel / Paper,405,"Christie's New York, Rockefeller Center",11/11/2015
Fraser,-not sold-,"$300,000","$500,000",Signed and Dated,"42.00"" x 48.00""",1994,Acrylic / Canvas,409,"Christie's New York, Rockefeller Center",11/11/2015
"Pico , 1999","$23,750","$25,000","$35,000",Signed and Dated,"6.00"" x 8.38""",1999,Acrylic  and pencil on lithograph / Paper,137,Phillips New York,11/10/2015
"Broken Glass with Shards , 2007",-not sold-,"$25,000","$35,000",Signed and Dated,"12.25"" x 9.38""",2007,Acrylic / Board,254,Phillips New York,11/10/2015
"Pieces of Broken Pane , 2007",-not sold-,"$25,000","$35,000",Signed and Dated,"12.25"" x 9.38""",2007,Acrylic / Board,255,Phillips New York,11/10/2015
"Ford , 1962",-not sold-,"$250,000","$350,000",Signed and Dated,"18.50"" x 14.25""",1962,Pencil / Paper,41,Phillips New York,11/08/2015
"Zoot Soot (Dedicated to the memory of Richard Duardo) , 2015","$5,630","$6,000","$8,000",Signed and Dated,"11.00"" x 14.00""",2015,Die-cut from handmade paper and color threads,823,Rago Arts and Auction Center,11/05/2015
Ghost Station,"$37,500","$25,000","$35,000",Signed,"20.88"" x 39.88""",2011,Mixografía print on handmade paper,69011,Heritage Auctions,10/28/2015
Fleetwood 2001,"$90,000","$20,000","$25,000",Signed and Dated,"12.00"" x 9.00""",2001,Acrylic / Board,171,Larsen Art Auction,10/24/2015
ENERGY ROBBING GEARS,"$209,970","$153,260","$229,890",Signed and Dated,"7.24"" x 28.74""",1974,Pastel  and gun powder / Paper,150,"Sotheby's London, New Bond Street",10/16/2015
"""Cherry""","$301,920","$245,220","$306,520",Signed and Dated,"7.48"" x 9.49""",1967,Gunpowder / Paper,22,"Sotheby's London, New Bond Street",10/15/2015
"Someone Home , 2003","$141,770","$122,610","$183,910",Signed Lower Right,"24.02"" x 28.43""",2003,Acrylic / Paper,159,Phillips London,10/15/2015
