title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Boy with Rats,"$17,500","$5,000","$7,500",Signed Initials,"10.50"" x 6.50""",not given,Pen and ink / Paper,78162,Heritage Auctions,10/13/2012-10/14/2012
"The Nub, story illustration","$18,130","$5,000","$7,500",Signed Initials,"9.75"" x 6.25""",not given,Ink / Paper,78163,Heritage Auctions,10/13/2012-10/14/2012
"The Nub, title page illustration","$4,688","$3,000","$5,000",Signed Initials,"5.75"" x 7.25""",not given,Ink / Paper,78164,Heritage Auctions,10/13/2012-10/14/2012
PUMPKIN VINE,-not sold-,"$50,000","$70,000",Signed and Dated,"21.50"" x 29.75""",1943,Watercolor / Paper on board,122,Sotheby's New York,09/28/2012
Front Door at Teel's,"$93,700","$50,000","$70,000",Signed Lower Right,"28.00"" x 20.00""",not given,Watercolor / Paper on board,129,"Christie's New York, Rockefeller Center",09/25/2012
Pete Bockius,-not sold-,"$15,000","$25,000",Inscribed and Signed,"14.00"" x 11.00""",not given,Pencil / Paper,130,"Christie's New York, Rockefeller Center",09/25/2012
Close Hauled,"$37,500","$15,000","$25,000",Signed Initials,"10.25"" x 11.75""",1935,Watercolor and pencil / Paper,131,"Christie's New York, Rockefeller Center",09/25/2012
House in Winter,"$7,290","$12,000","$18,000",Signed Lower Right,"13.00"" x 16.50""",not given,Watercolor and pencil / Paper,527,"Skinner Inc, Boston",09/07/2012
"""In the Georges Islands""",-not sold-,"$70,000","$80,000",Signed and Dated,"14.63"" x 29.00""",1940,India Ink / Paper,105,Thomaston Place Auction Galleries,08/25/2012-08/26/2012
Untitled,"$10,000","$20,000","$30,000",Unsigned,"12.75"" x 9.75""",c.1971,Watercolor and gouache / Paper,109,Thomaston Place Auction Galleries,08/25/2012-08/26/2012
"""Kerner Farm""",-not,"$40,000","$60,000",Signed,Dimensions not available,not given,Watercolor / Paper,3210,Alderfer Auction Company,06/14/2012
"""Helga on Paper""",-not,"$5,000","$7,000",Inscribed,Dimensions not available,not given,Watercolor / Paper,3249,Alderfer Auction Company,06/14/2012
"""The Beginning of Trouble""",-not sold-,"$8,000","$10,000",Signed Lower Right,Dimensions not available,not given,Pen and ink / Paper,3308,Alderfer Auction Company,06/14/2012
"""Barns-Brinton House""",-not sold-,"$3,000","$5,000",Signed and Dated,Dimensions not available,1964,Pencil / Paper,3309,Alderfer Auction Company,06/14/2012
"""Scrooge""",-not sold-,"$8,000","$10,000",Signed,Dimensions not available,not given,Pen and ink / Paper,3352,Alderfer Auction Company,06/14/2012
"""Revolutionary War General""","$9,360","$8,000","$10,000",Signed,Dimensions not available,not given,Pen and ink / Paper,3358,Alderfer Auction Company,06/14/2012
JACKLIGHT,"$1,538,500","$600,000","$900,000",Signed and Titled,"43.50"" x 49.75""",1980,Tempera / Panel,36,Sotheby's New York,05/17/2012
Inland Shell,-not sold-,"$40,000","$60,000",Signed Lower Right,"14.00"" x 21.75""",1957,Watercolor and pencil / Paper,73,"Christie's New York, Rockefeller Center",05/16/2012
Messersmith's,"$86,500","$80,000","$120,000",Signed Lower Right,"24.00"" x 19.50""",1994,Watercolor and pencil / Paper,74,"Christie's New York, Rockefeller Center",05/16/2012
Siri Erickson,"$30,000","$15,000","$25,000",Signed and Dated,"13.50"" x 18.25""",1969,Pencil / Paper,75,"Christie's New York, Rockefeller Center",05/16/2012
House in Winter,-not sold-,"$35,000","$55,000",Signed Lower Right,"13.00"" x 16.50""",not given,Watercolor and pencil / Paper,452,"Skinner Inc, Boston",02/03/2012
WINTER BEECH LEAVES,"$11,780","$8,000","$12,000",Inscribed and Signed,"13.25"" x 21.63""",c.1969,graphite / Paper,48,Keno Auctions,01/17/2012
SKUNK CABBAGE,-not sold-,"$75,000","$100,000",Signed Lower Left,"19.75"" x 26.50""",1953,Watercolor / Paper,42,Sotheby's New York,12/01/2011
ADAM'S SHEDS,-not sold-,"$100,000","$150,000",Signed Lower Right,"13.75"" x 21.75""",1955,Watercolor / Paper,43,Sotheby's New York,12/01/2011
Lily Pads,"$47,500","$25,000","$35,000",Inscribed and Signed,"12.00"" x 18.00""",not given,Watercolor and pencil / Paper,88,"Christie's New York, Rockefeller Center",11/30/2011
Sarita,"$43,750","$45,000","$65,000",Signed Lower Right,"21.50"" x 26.75""",1978,Watercolor and pencil / Paper,134,"Christie's New York, Rockefeller Center",09/27/2011
Sir William Howe at Birmingham,"$27,500","$20,000","$30,000",Inscribed and Signed,"23.00"" x 18.25""",1948,Watercolor and pencil / Paper,135,"Christie's New York, Rockefeller Center",09/27/2011
Knyphausen's Artillery,"$40,000","$40,000","$60,000",Signed Lower Left,"15.00"" x 24.00""",1945,Watercolor and pencil / Paper,136,"Christie's New York, Rockefeller Center",09/27/2011
LEDGE ON HUPPER'S ISLAND,"$25,000","$20,000","$30,000",Signed Initials,"18.00"" x 26.75""",1949,Ink  with pencil / Paper on board,370,Sotheby's New York,09/27/2011-09/28/2011
The Corn Huskers (1941),"$55,580","$50,000","$75,000",Signed Lower Right,"21.00"" x 29.00""",not given,Watercolor / Paper,115,Coeur D'Alene Auction,07/23/2011
"""THE LOBSTER MAN""","$103,000","$80,000","$120,000",Signed Lower Right,"19.50"" x 26.50""",not given,Watercolor / Paper,82,Freeman's,06/19/2011
Landing Party,"$34,160","$30,000","$50,000",Inscribed and Signed,"18.50"" x 13.00""",1930,Ink  wash / Paper,1098,Bonhams New York,05/24/2011-05/25/2011
Blue Room,-not sold-,"$100,000","$150,000",Signed,"20.75"" x 28.75""",1992,Watercolor / Paper,1099,Bonhams New York,05/24/2011-05/25/2011
Christmas Card,"$2,700","$1,500","$2,000",Signed on Reverse,"5.00"" x 8.25""",not given,Ink / Paper,687,Thomaston Place Auction Galleries,05/22/2011-05/23/2011
"""East Point Lighthouse""","$7,500","$6,000","$8,000",Signed and Titled,"11.00"" x 13.50""",1991,Pencil / Paper,688,Thomaston Place Auction Galleries,05/22/2011-05/23/2011
SPRING EVENING,"$458,500","$250,000","$350,000",Signed,"23.00"" x 29.00""",1948,Watercolor  and drybrush / Paper on board,109,Sotheby's New York,05/19/2011
TEEL'S LANDING,-not sold-,"$150,000","$250,000",Signed Lower Right,"19.00"" x 28.00""",1953,Watercolor / Paper,110,Sotheby's New York,05/19/2011
MELTING SNOW ON THE BRANDYWINE,-not sold-,"$80,000","$120,000",Signed Lower Right,"21.75"" x 30.00""",1952,Watercolor / Paper on board,111,Sotheby's New York,05/19/2011
Dam Breast,-not sold-,"$100,000","$150,000",Signed Lower Left,"21.75"" x 29.75""",1970,Watercolor and pencil / Paper,116,"Christie's New York, Rockefeller Center",05/18/2011
Silver Cove,"$578,500","$500,000","$700,000",Signed Lower Right,"24.00"" x 41.50""",1937,Tempera / Panel,118,"Christie's New York, Rockefeller Center",05/18/2011
Willard Snowden,-not sold-,"$40,000","$60,000",Signed Lower Right,"18.00"" x 24.00""",1965,Pencil / Paper,119,"Christie's New York, Rockefeller Center",05/18/2011
Noon Hour,-not sold-,"$70,000","$100,000",Signed Lower Left,"21.50"" x 29.50""",1942,Watercolor and pencil / Paper,120,"Christie's New York, Rockefeller Center",05/18/2011
"Sketch of the second Baptist ""Ridge"" Church, Martinsville (actually Glenmere), Maine","$9,760","$3,000","$6,000",unknown,"8.75"" x 12.00""",not given,Pen and ink / Paper,241,Keno Auctions,01/18/2011
"Sketch of horse pulling farm equipment, facing forward","$13,420","$5,000","$10,000",unknown,"8.75"" x 12.00""",not given,Pen and ink / Paper,242,Keno Auctions,01/18/2011
Sketch of horse pulling farm equipment,"$10,370","$5,000","$10,000",unknown,"8.75"" x 12.00""",not given,Pen and ink / Paper,243,Keno Auctions,01/18/2011
Study of Betsy James,"$7,320","$5,000","$10,000",unknown,"8.75"" x 12.00""",not given,Pencil / Paper,244,Keno Auctions,01/18/2011
Sketch of a single horse pulling farm equipment,"$9,760","$2,000","$4,000",unknown,"8.75"" x 12.00""",not given,Pen and ink / Paper,245,Keno Auctions,01/18/2011
"Sketch of the work on the new steeple of the second Baptist ""Ridge"" Church, Martinsville (actually Glenmere), Maine AND sketch of landscape with small village with water beyond (2)","$2,074","$2,000","$4,000",unknown,"8.75"" x 10.63""",not given,Pen and ink / Paper,246,Keno Auctions,01/18/2011
"Sketch of the construction after the burning of the second Baptist ""Ridge"" Church, Martinsville (actually Glenmere) Maine.","$2,440","$1,000","$2,000",unknown,"8.50"" x 8.75""",not given,Pencil / Paper,247,Keno Auctions,01/18/2011
Sketches of Levi Hupper (1917-1991).,"$4,880","$2,000","$4,000",unknown,"8.75"" x 12.00""",not given,Pencil / Paper,248,Keno Auctions,01/18/2011
"Sketch of ""Cooting off the Old Man.""","$20,740","$3,000","$6,000",unknown,"8.75"" x 12.00""",not given,Pen and ink / Paper,249,Keno Auctions,01/18/2011
"Sketch of the Olson house and farm, Cushing, Maine","$41,480","$20,000","$40,000",unknown,"8.75"" x 12.00""",not given,Pencil / Paper,250,Keno Auctions,01/18/2011
"MORNING, LITTLE CALDWELL ISLAND.",-not sold-,"$60,000","$80,000",Signed and Dated,"18.00"" x 22.00""",1938,Watercolor / Paper,55,Sotheby's New York,12/02/2010
NEW GRASS,"$182,500","$150,000","$250,000",Signed Lower Right,"20.00"" x 28.00""",1956,Watercolor / Paper,59,Sotheby's New York,12/02/2010
"CRANBERRY BUCKET, STUDY FOR CRANBERRIES","$37,500","$8,000","$12,000",Inscribed and Signed,"12.50"" x 10.00""",1966,Pencil / Paper,125,Sotheby's New York,12/02/2010
Wylie's Corner,-not sold-,"$100,000","$150,000",Signed Lower Left,"14.00"" x 21.75""",1985,Watercolor and pencil / Paper,60,"Christie's New York, Rockefeller Center",12/01/2010
Shredded Wheat,"$74,500","$70,000","$100,000",Signed Lower Left,"21.00"" x 29.75""",1982,Watercolor and pencil / Paper,62,"Christie's New York, Rockefeller Center",12/01/2010
Sarita,-not sold-,"$80,000","$120,000",Signed Lower Right,"21.50"" x 26.75""",1978,Watercolor and pencil / Paper,64,"Christie's New York, Rockefeller Center",12/01/2010
Cat Spruce,-not sold-,"$80,000","$120,000",Signed Lower Right,"19.50"" x 27.50""",1954,Watercolor and pencil / Paper,65,"Christie's New York, Rockefeller Center",12/01/2010
Bowsprit,-not sold-,"$50,000","$70,000",Signed Lower Right,"14.00"" x 17.00""",1987,Watercolor and pencil / Paper,68,"Christie's New York, Rockefeller Center",12/01/2010
Sir William Howe at Birmingham,-not sold-,"$40,000","$60,000",Inscribed and Signed,"23.00"" x 18.25""",1984,Watercolor and pencil / Paper,79,"Christie's New York, Rockefeller Center",12/01/2010
Knyphausen's Artillery,-not sold-,"$70,000","$100,000",Signed Lower Left,"15.00"" x 24.00""",1945,Watercolor and pencil / Paper,80,"Christie's New York, Rockefeller Center",12/01/2010
Study of Hands,"$22,800","$15,000","$20,000",Signed Lower Right,"10.25"" x 13.50""",1955,Pencil / Card,108,Swann Galleries,11/18/2010
"""Revolutionary War Soldier""","$1,000","$2,000","$4,000",Inscribed and Signed,"9.63"" x 7.25""",not given,Ink / Paper,252,Brunk Auctions,11/13/2010-11/14/2010
"""Head of a Medieval Soldier""","$1,000","$1,000","$2,000",Signed Lower Right,"8.38"" x 5.25""",not given,Ink / Paper,253,Brunk Auctions,11/13/2010-11/14/2010
"""Elf on a Branch, Christmas Card""",$500,$300,$600,Inscribed and Not Signed,"8.88"" x 5.25""",not given,relief print on card with hand coloring / Card,255,Brunk Auctions,11/13/2010-11/14/2010
"""Two Soldiers""","$8,000","$5,000","$10,000",Signed and Dated,"5.88"" x 7.13""",1930,Watercolor and pencil / Paper,256,Brunk Auctions,11/13/2010-11/14/2010
"""Christmas card, 1931""",$200,"$3,000","$5,000",Signed and Dated,"7.50"" x 6.00""",1931,print with hand color / Card,257,Brunk Auctions,11/13/2010-11/14/2010
"""Profile of George Washington""","$1,500","$2,000","$3,000",Signed,"3.25"" x 5.50""",1953,Ink / Card,258,Brunk Auctions,11/13/2010-11/14/2010
"""Chester Doorway""","$2,000","$3,000","$6,000",Unsigned,"4.25"" x 3.88""",not given,Ink / Paper,259,Brunk Auctions,11/13/2010-11/14/2010
"""View of Kuerner's Farm House""","$1,900","$2,000","$4,000",Inscribed and Signed,"9.88"" x 12.13""",1976,Ink / Paper,260,Brunk Auctions,11/13/2010-11/14/2010
Bird Bath,"$228,000","$200,000","$300,000",Signed Lower Right,"19.50"" x 27.50""",not given,Watercolor / Paper,68,Shannon's Fine Art Auctioneers,10/28/2010
"Preliminary sketch for a work done at East Point Lighthouse, NJ",-not sold-,"$5,000","$10,000",Signed Lower Right,"10.75"" x 13.75""",not given,Pencil / Paper,452,Pook & Pook Inc.,10/02/2010
Along the Coast,-not sold-,"$40,000","$60,000",Signed Lower Right,"15.00"" x 22.00""",1950,Watercolor / Paper on board,12,"Christie's New York, Rockefeller Center",09/28/2010
Low Water,-not sold-,"$80,000","$120,000",Signed Lower Right,"16.13"" x 21.38""",not given,Watercolor and pencil / Paper,476,"Skinner Inc, Boston",09/24/2010
"Shore Pine, © 1939","$102,000","$60,000","$90,000",Signed Lower Left,"22.50"" x 30.00""",1939,Watercolor and pencil / Paper,322,Brunk Auctions,09/11/2010-09/12/2010
Christmas card,"$11,000","$7,000","$9,000",unknown,"5.00"" x 3.13""",not given,Watercolor / Card,551,Thomaston Place Auction Galleries,08/21/2010-08/23/2010
Christmas card,"$11,000","$6,000","$8,000",unknown,"5.00"" x 3.13""",not given,Watercolor / Card,552,Thomaston Place Auction Galleries,08/21/2010-08/23/2010
Late Harvest,"$266,000","$250,000","$350,000",Signed and Dated,"21.75"" x 30.00""",1973,Watercolor / Board,106,Bonhams New York,05/26/2010
Blue Room,-not sold-,"$150,000","$250,000",Signed,"20.75"" x 28.75""",not given,Watercolor / Paper,107,Bonhams New York,05/26/2010
"' Ridge Church', in Martinsville, Maine",-not sold-,"$200,000","$300,000",Signed,"40.00"" x 36.00""",1935,Oil / Canvas on board,100,Thomaston Place Auction Galleries,05/22/2010-05/23/2010
On Her Knees: A Study,-not sold-,"$80,000","$120,000",Signed Lower Right,"23.75"" x 18.00""",1975,Charcoal  and pencil / Paper,58,"Christie's New York, Rockefeller Center",05/20/2010
Snow Birds,-not sold-,"$300,000","$500,000",Signed Lower Left,"20.25"" x 30.00""",1970,Watercolor and pencil / Paper,59,"Christie's New York, Rockefeller Center",05/20/2010
Off Shore,"$6,354,500","$1,200,000","$1,800,000",Signed Lower Right,"21.25"" x 51.50""",1967,Tempera / Masonite,60,"Christie's New York, Rockefeller Center",05/20/2010
Dam Breast,"$242,500","$200,000","$300,000",Signed Lower Left,"21.75"" x 29.75""",1970,Watercolor and pencil / Paper,109,"Christie's New York, Rockefeller Center",05/20/2010
Ledge Gate,-not sold-,"$200,000","$300,000",Signed Lower Right,"21.25"" x 29.75""",1959,Watercolor / Paper,110,"Christie's New York, Rockefeller Center",05/20/2010
Blackberry Picker,"$1,426,500","$600,000","$800,000",Signed Lower Right,"28.75"" x 48.00""",1943,Tempera / Masonite,111,"Christie's New York, Rockefeller Center",05/20/2010
BEAUTY REST,-not sold-,"$600,000","$800,000",Signed Lower Right,"27.00"" x 38.50""",1991,Watercolor  and drybrush / Paper,26,Sotheby's New York,05/19/2010
SUNFLOWERS,-not sold-,"$200,000","$300,000",Signed Lower Right,"18.50"" x 23.75""",1982,Watercolor / Paper,27,Sotheby's New York,05/19/2010
ISLAND PORCH,-not sold-,"$100,000","$150,000",Signed Lower Right,"13.25"" x 22.00""",1999,Watercolor / Paper,40,Sotheby's New York,05/19/2010
Empty Basket on a Sloping Hill,"$28,440","$20,000","$40,000",Inscribed and Signed,"7.50"" x 11.63""",not given,Watercolor on book title page,6228,Clars Auction Gallery,05/15/2010-05/16/2010
"Broken Branch in the Snow, 1970","$17,500","$8,000","$12,000",Signed Lower Right,"14.00"" x 17.00""",1970,Pencil / Paper,189,Doyle New York,05/05/2010
His Mark,"$15,000","$3,000","$5,000",Inscribed and Not Signed,"12.75"" x 8.50""",not given,Watercolor and pencil  with ink / Paper,17,"Christie's New York, Rockefeller Center",03/04/2010
The Road to Holiday's Barn,"$32,000","$25,000","$35,000",Inscribed and Signed,"16.50"" x 21.50""",1935,Watercolor / Paper,171,Brunk Auctions,02/20/2010-02/21/2010
Small House in Snow,"$13,000","$10,000","$15,000",Unsigned,"3.63"" x 5.25""",not given,Watercolor and gouache / Card,90,Thomaston Place Auction Galleries,02/06/2010-02/07/2010
"ORCHARD KNOLL, 1956",-not sold-,"$125,000","$175,000",Unsigned,"19.50"" x 27.50""",1956,Watercolor / Paper,1100,"James D Julia, Inc.",02/04/2010-02/05/2010
BIKINI,"$506,500","$300,000","$500,000",Signed Lower Left,"20.00"" x 12.00""",1968,Watercolor  dry brush / Paper,13,Sotheby's New York,12/03/2009
SEA LEVEL,"$410,500","$300,000","$500,000",Signed Lower Left,"28.75"" x 42.00""",1982,Watercolor / Paper,48,Sotheby's New York,12/03/2009
RIVERBOAT,"$194,500","$125,000","$175,000",Signed Lower Right,"17.00"" x 26.00""",1963,Watercolor  wth drybursh / Paper,64,Sotheby's New York,12/03/2009
Above the Narrows,"$6,914,500","$3,000,000","$5,000,000",Signed Lower Right,"48.00"" x 32.25""",1960,Tempera / Panel,24,"Christie's New York, Rockefeller Center",12/02/2009
Army Surplus,-not sold-,"$400,000","$600,000",Signed Lower Left,"21.75"" x 30.00""",1967,Watercolor / Paper,25,"Christie's New York, Rockefeller Center",12/02/2009
"D'Artagan, A Christmas Card","$12,000","$12,500","$15,000",Inscribed and Signed,"5.00"" x 3.38""",not given,Watercolor and gouache / Paper,85,Thomaston Place Auction Galleries,11/07/2009
"FROZEN MILL RACE AT CHADD""S FORD WITH WYETH""S DOG, NELL GWYN, 1969.",-not sold-,"$200,000","$300,000",Signed,"20.25"" x 29.25""",not given,Watercolor  and tempera / Canvas,269,Northeast Auctions,10/25/2009
"OFF CALDWELL""S ISLAND, 1938",-not sold-,"$100,000","$200,000",Signed Lower Left,"17.50"" x 21.50""",1938,Watercolor / Paper,284,Northeast Auctions,10/25/2009
"SISSY, A STUDY FOR MY YOUNG FRIEND","$10,000","$10,000","$15,000",Signed Lower Right,"17.00"" x 14.00""",1970,Pencil / Paper,133,Sotheby's New York,09/30/2009
THE FISHERMAN--double sided,"$34,380","$20,000","$30,000",Inscribed,"15.50"" x 22.25""",c.1944,Watercolor / Paper,154,Sotheby's New York,09/30/2009
Wild Rose Hips,-not sold-,"$75,000","$125,000",Signed Lower Right,"9.50"" x 21.50""",not given,Watercolor / Paper,160,Barridoff Galleries,08/07/2009
John Andress House,"$63,250","$60,000","$90,000",Signed Lower Right,"22.00"" x 30.00""",1943,Watercolor / Paper,531,"Copley Fine Art Auctions, LLC",07/15/2009-07/16/2009
SOUTH CUSHING,"$135,000","$100,000","$150,000",Inscribed and Not Signed,"14.00"" x 17.50""",circa 1955,Pencil / Paper,100,Thomaston Place Auction Galleries,05/30/2009-05/31/2009
JOHN LYNCH (STUDY FOR BUZZARD'S GLORY),-not sold-,"$25,000","$35,000",Signed Lower Right,"14.00"" x 17.00""",1968,Watercolor and pencil / Paper,1,Sotheby's New York,05/21/2009
FIREWOOD (STUDY FOR GROUNDHOG DAY),"$194,500","$200,000","$300,000",Signed Lower Right,"14.00"" x 22.00""",not given,Watercolor  and drybrush / Paper,3,Sotheby's New York,05/21/2009
WASH BASKET,"$146,500","$150,000","$250,000",Signed Lower Right,"19.75"" x 14.00""",1968,Watercolor / Paper,8,Sotheby's New York,05/21/2009
BUZZARD'S GLORY,"$722,500","$600,000","$800,000",Signed,"18.50"" x 23.75""",not given,Tempera / Panel,17,Sotheby's New York,05/21/2009
INDEPENDENCE DAY,"$362,500","$300,000","$500,000",Signed Lower Left,"14.00"" x 20.00""",1961,Watercolor / Paper,18,Sotheby's New York,05/21/2009
CHRISTINA'S BEDROOM,"$278,500","$200,000","$300,000",Signed Lower Left,"21.50"" x 29.50""",not given,Watercolor / Paper,19,Sotheby's New York,05/21/2009
SHED LANTERN,"$146,500","$150,000","$250,000",Signed Lower Left,"24.25"" x 15.50""",1954,Watercolor / Paper,20,Sotheby's New York,05/21/2009
ROSE HIPS (STUDY FOR BACK WATER),"$122,500","$100,000","$150,000",Signed Lower Right,"12.00"" x 17.75""",1982,Watercolor / Paper,25,Sotheby's New York,05/21/2009
ACROSS THE BAY,"$62,500","$60,000","$80,000",Signed Lower Right,"18.00"" x 22.00""",not given,Watercolor / Paper,66,Sotheby's New York,05/21/2009
The Falls of Brandywine,"$68,500","$80,000","$120,000",Signed Lower Right,"18.00"" x 21.50""",1943,Watercolor and pencil / Paper,124,"Christie's New York, Rockefeller Center",05/20/2009
Harbor House,"$116,500","$100,000","$150,000",Signed Lower Left,"21.50"" x 29.75""",1985,Watercolor and pencil / Paper,125,"Christie's New York, Rockefeller Center",05/20/2009
"Coast Farm, Maine, 1936","$74,500","$80,000","$120,000",Signed Initials,"22.00"" x 30.00""",1936,Watercolor / Canvas,247,Doyle New York,05/19/2009
Race Bridge,"$116,500","$120,000","$180,000",Signed and Dated,"14.00"" x 22.00""",1984,Watercolor and gouache / Paper,118,"Christie's New York, Rockefeller Center",12/04/2008
Cider Barrel,"$782,500","$500,000","$700,000",Signed and Dated,"22.00"" x 29.00""",1969,Watercolor and pencil / Paper,120,"Christie's New York, Rockefeller Center",12/04/2008
THE BOB,-not sold-,"$70,000","$90,000",Signed Lower Right,"21.50"" x 29.50""",1944,Watercolor / Paper,176,Sotheby's New York,12/03/2008
WESSAWESKEAG,"$107,500","$70,000","$90,000",Signed Lower Right,"21.25"" x 29.75""",1962,Watercolor / Paper,178,Sotheby's New York,12/03/2008
"PORTRAIT OF WALT ANDERSON (STUDY FOR ""THE DUEL"")",-not sold-,"$20,000","$25,000",Signed Initials,"24.00"" x 31.00""",not given,Pencil / Paper,154,Pook & Pook Inc.,11/21/2008
DR. H. HARRISON MCALLISTER,"$5,250","$6,000","$8,000",Inscribed and Signed,"14.00"" x 11.00""",1982,Pencil / Paper,208,"Christie's New York, Rockefeller Center",09/25/2008
"""Untitled"" painting and inscription on half title page of the book ""Andrew Wyeth"" by Richard Meryman",-not sold-,"$30,000","$50,000",Inscribed,"5.00"" x 10.00""",not given,Watercolor / Paper,143,Barridoff Galleries,08/01/2008
ON HER KNEES,"$229,000","$150,000","$250,000",Signed Lower Right,"23.50"" x 17.75""",1975,Pencil / Paper,80,Sotheby's New York,05/22/2008
THE GREEN DORY,"$145,000","$80,000","$120,000",Signed Lower Right,"15.00"" x 21.00""",not given,Watercolor / Paper,108,Sotheby's New York,05/22/2008
PUMPKIN IN DOORWAY,"$145,000","$80,000","$120,000",Signed Lower Right,"8.00"" x 15.00""",1979,Watercolor and pencil / Paper,5,"Christie's New York, Rockefeller Center",05/21/2008
DESERTED LIGHT,"$337,000","$200,000","$300,000",Signed Lower Right,"30.50"" x 22.00""",1977,Watercolor and pencil / Paper,6,"Christie's New York, Rockefeller Center",05/21/2008
THE MILL AT BRINTON'S BRIDGE,"$39,400","$25,000","$35,000",Unsigned,"10.00"" x 13.20""",1936,Ink / Paper,110,"Christie's New York, Rockefeller Center",03/07/2008
October Morning at Archie's,-not sold-,"$180,000","$240,000",Signed Lower Right,"22.50"" x 30.20""",1950,Watercolor and pencil / Paper,117,"Christie's New York, Rockefeller Center",11/29/2007
The Intruder,"$5,753,000","$3,000,000","$5,000,000",Signed,"30.50"" x 50.20""",1971,Tempera / Panel,119,"Christie's New York, Rockefeller Center",11/29/2007
Hoffman's Barn,"$289,000","$250,000","$350,000",Signed Lower Right,"32.00"" x 40.20""",1933,Oil / Canvas,213,"Christie's New York, Rockefeller Center",11/29/2007
The New Table,"$301,000","$250,000","$350,000",Signed Lower Right,"28.00"" x 20.00""",not given,Watercolor / Paper,19,Sotheby's New York,11/28/2007
Army Surplus,-not sold-,"$800,000","$1,200,000",Signed Lower Left,"21.70"" x 29.70""",1966,Watercolor / Paper,69,Sotheby's New York,11/28/2007
The Bobsled,"$85,000","$70,000","$90,000",Signed Lower Right,"17.00"" x 29.70""",not given,Watercolor / Paper,75,Sotheby's New York,11/28/2007
A River Fog,"$82,000","$50,000","$70,000",Signed Lower Left,"15.50"" x 19.50""",1950,Watercolor / Paper,76,Sotheby's New York,11/28/2007
Sparks,-not sold-,"$2,500,000","$4,500,000",Signed Initials,"44.00"" x 47.70""",not given,Tempera / Panel,81,Sotheby's New York,11/28/2007
Cape May,"$481,000","$400,000","$600,000",Signed Lower Right,"25.00"" x 39.00""",1992,Watercolor / Paper,116,Sotheby's New York,11/28/2007
Study For 'A Crow Flew By',"$61,000","$30,000","$50,000",Signed Lower Right,"11.50"" x 14.50""",not given,Pencil / Paper,118,Sotheby's New York,11/28/2007
Turtleneck,"$1,105,000","$1,000,000","$1,500,000",Signed,"22.00"" x 34.20""",1984,Tempera / Panel,119,Sotheby's New York,11/28/2007
Marshall Point,-not sold-,"$60,000","$80,000",Signed Lower Left,"20.00"" x 27.20""",1947,Watercolor / Paper,121,Sotheby's New York,11/28/2007
Adam Johnson's Gatepost and Study for Man and the Moon: A double-sided work,-not sold-,"$250,000","$350,000",Inscribed and Signed,"23.00"" x 30.00""",1990,Watercolor / Paper,2512,Doyle New York,11/28/2007
Dock Pilings,"$104,400","$60,000","$80,000",Signed Lower Right,"13.70"" x 19.00""",1962,Watercolor / Paper,1157,Northeast Auctions,08/18/2007-08/19/2007
George's Place,"$291,200","$250,000","$350,000",Signed Lower Left,"20.50"" x 29.50""",not given,Watercolor / Paper,222,Coeur D'Alene Auction,07/28/2007
Ericksons,"$10,344,000","$4,000,000","$6,000,000",Signed Lower Left,"42.00"" x 38.00""",1973,Tempera / Paper,29,"Christie's New York, Rockefeller Center",05/24/2007
Bull Run,"$734,400","$300,000","$500,000",Signed Lower Right,"31.00"" x 53.00""",1976,Watercolor / Paper,30,"Christie's New York, Rockefeller Center",05/24/2007
Sundown,"$480,000","$250,000","$350,000",Signed Lower Right,"21.50"" x 29.70""",1969,Watercolor / Paper,31,"Christie's New York, Rockefeller Center",05/24/2007
Adam's Shed,"$84,000","$40,000","$60,000",Signed Lower Left,"11.00"" x 13.70""",1955,Watercolor / Paper,34,"Christie's New York, Rockefeller Center",05/24/2007
Fog and the White Dory,"$96,000","$40,000","$60,000",Signed Lower Left,"17.20"" x 29.20""",1941,Mixed Media / Paper,152,"Christie's New York, Rockefeller Center",05/24/2007
Bone White,"$432,000","$150,000","$250,000",Signed Lower Left,"14.50"" x 21.50""",1978,Watercolor / Paper,1,Sotheby's New York,05/23/2007
Dusk,"$228,000","$80,000","$120,000",Signed Lower Right,"24.00"" x 18.00""",1978,Watercolor / Paper,2,Sotheby's New York,05/23/2007
French Connection,"$456,000","$400,000","$600,000",Signed Lower Right,"27.00"" x 20.50""",1980,Watercolor / Paper,6,Sotheby's New York,05/23/2007
"Concord River Near Needham, Massachusetts",-not sold-,"$150,000","$200,000",Signed Lower Right,"22.00"" x 30.00""",1934,Watercolor / Paper,277,Pook & Pook Inc.,03/23/2007
"On the Withlacoochee River, Florida","$33,000","$10,000","$20,000",Signed Lower Right,"22.50"" x 29.70""",1939,Watercolor / Paper,72,"Sotheby's New York, Arcade",12/12/2006
British Columbia,-not sold-,"$120,000","$180,000",Signed Lower Left,"21.50"" x 29.50""",not given,Watercolor / Paper,125,"Christie's New York, Rockefeller Center",11/30/2006
Dogwood at Valley Forge,-not sold-,"$700,000","$1,000,000",Signed Lower Left,"23.00"" x 30.00""",1941,Tempera / Masonite,134,"Christie's New York, Rockefeller Center",11/30/2006
From Big Thunder,"$60,000","$40,000","$60,000",Signed Lower Right,"18.00"" x 22.00""",1938,Watercolor / Paper,59,Sotheby's New York,11/29/2006
