title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
"Paysannes dans les champs, Pontoise","$732,500","$700,000","$1,000,000",Signed and Dated,"18.25"" x 21.88""",1880,Oil / Canvas,30A,"Christie's New York, Rockefeller Center",11/11/2018
"Le Marché de Gisors, Grande-Rue","$972,500","$1,000,000","$1,500,000",Signed and Dated,"18.25"" x 15.00""",1885,Oil / Canvas,33A,"Christie's New York, Rockefeller Center",11/11/2018
La Ronde,-not sold-,"$700,000","$1,000,000",Stamped,"25.63"" x 31.88""",1892,Peinture à la colle / Paper,34A,"Christie's New York, Rockefeller Center",11/11/2018
"Neige, soleil couchant, Eragny",-not sold-,"$1,400,000","$1,800,000",Signed and Dated,"23.63"" x 32.00""",1894,Oil / Canvas,39A,"Christie's New York, Rockefeller Center",11/11/2018
Deux Femmes,"$2,125","$2,500","$3,500",Stamped,"5.13"" x 10.25""",not given,Pencil / Paper on board,55,Rago Arts and Auction Center,11/10/2018
Femme se cambrant (double sided),"$40,620","$17,410","$23,210",Signed Monogram,"5.88"" x 3.63""",Circa 1890,Watercolor and ink  over pencil / Paper,77,Grisebach,10/25/2018
PROJET D'ÉVENTAIL,"$29,020","$20,890","$29,020",Stamped,"13.54"" x 23.74""",c. mid-1880's,Watercolor  and black crayon / Paper,338,Sotheby's Paris,10/19/2018
Gossip at Sunset,"$20,510","$3,937","$6,560",Signed Initials,"10.20"" x 7.87""",1885-90,Pencil  and pen and brown ink / Paper,57,Bonhams Bond Street,10/11/2018
WOMAN CARRYING STICKS,"$9,000","$5,000","$10,000",Stamped,"9.50"" x 11.50""",not given,Pencil / Paper,128,Clark's Fine Art Gallery & Auctioneers Inc,09/22/2018
Maison avec Palmiers (double sided),"$16,250","$15,000","$20,000",Stamped,"8.75"" x 10.75""",not given,Watercolor and pencil / Paper,71,Swann Galleries,09/20/2018
Le Taureau.,"$4,000","$2,000","$3,000",Stamped,"8.00"" x 10.38""",not given,Pencil / Paper,72,Swann Galleries,09/20/2018
Études de Moutons (double sided),"$3,500","$2,000","$3,000",Stamped,"5.13"" x 8.38""",c.1890,Pencil  with brush and ink / Paper,73,Swann Galleries,09/20/2018
"Paysage, Pontoise.","$6,750","$7,000","$10,000",Stamped,"2.63"" x 3.88""",c.1875-80,Watercolor / Paper,76,Swann Galleries,09/20/2018
Chantillon-sur-Seine,"$22,500","$10,000","$15,000",Stamped,"9.25"" x 6.50""",not given,Watercolor and gouache  with pencil / Paper,82,"Christie's New York, Rockefeller Center",08/22/2018-08/23/2018
La couseuse,not,"$6,960","$9,280",Signed Monogram,"17.32"" x 10.63""",not given,Charcoal / Paper,3,Hotel Des Ventes De Monte-Carlo,07/22/2018
La clairiere,"$57,420","$45,940","$59,060",Signed Lower Right,"8.86"" x 11.02""",not given,Pastel / Paper,172,"Christie's London, King Street",06/21/2018
"Le pont du chemin de fer, Pontoise","$4,259","$3,004","$4,005",Stamped,"5.12"" x 8.86""",1882,Pencil / Paper,81,Beurret Bailly Widmer Auktionen (formly. Beurret Bailly),06/20/2018
Paysage,-not sold-,"$4,005","$6,010",Stamped,"9.45"" x 12.40""",not given,Charcoal  and ink / Paper,82,Beurret Bailly Widmer Auktionen (formly. Beurret Bailly),06/20/2018
"MARCHÉ À LA VOLAILLE, GISORS","$27,890","$15,750","$23,630",Inscribed and Signed,"8.07"" x 6.38""",c. 1889,Watercolor  and wash / Paper,109,"Sotheby's London, New Bond Street",06/20/2018
"LES POMMIERS, PONTOISE","$82,030","$32,810","$45,940",Signed Lower Left,"10.83"" x 14.61""",c. 1872,Pastel / Paper,111,"Sotheby's London, New Bond Street",06/20/2018
LES PRÉS À ERAGNY,"$82,030","$39,380","$52,500",Signed Lower Left,"9.57"" x 12.40""",c. 1887,Pastel / Paper,112,"Sotheby's London, New Bond Street",06/20/2018
"VACHES AU PRÉ, PONTOISE AU LOINTAIN","$52,500","$32,810","$45,940",Signed,"13.90"" x 22.20""",c. 1880,Gouache / Silk,126,"Sotheby's London, New Bond Street",06/20/2018
"PAYSANNES RAMASSANT DES HERBES, ERAGNY","$1,084,130","$525,000","$787,500",Signed and Dated,"14.96"" x 18.11""",1886,Oil / Canvas,127,"Sotheby's London, New Bond Street",06/20/2018
PORTRAIT DE FÉLICIE VELLAY ESTRUC,-not sold-,"$105,000","$157,500",Signed,"19.29"" x 12.20""",c. 1874,Pastel / Paper,131,"Sotheby's London, New Bond Street",06/20/2018
"LE BOULEVARD MONTMARTRE, BRUME DU MATIN","$4,580,630","$3,937,500","$6,562,500",Signed and Dated,"21.26"" x 25.79""",1897,Oil / Canvas,10,"Sotheby's London, New Bond Street",06/19/2018
Pommier à Éragny Um 1888,"$30,040","$40,060",n/a,Stamped,"6.77"" x 9.92""",c. 1888,Watercolor  over pencil / Paper,147,Galerie Kornfeld and Cie,06/15/2018
Zwei Studien des Kopfes von Lucien Pissarro - Verso: Stehende Kuh nach rechts 1868-1870,-not sold-,"$25,040",n/a,Signed Monogram,"11.81"" x 16.54""",not given,Charcoal / Paper,610,Galerie Kornfeld and Cie,06/14/2018-06/15/2018
Portrait of a boy.,"$178,480","$177,700","$213,240",Unsigned,"14.57"" x 11.81""",not given,Oil / Canvas,223,"Bruun Rasmussen, Copenhagen",05/29/2018-06/07/2018
PAYSAGE,"$8,000","$5,000","$10,000",Stamped,"5.00"" x 8.25""",not given,Watercolor and pencil / Paper,6074,Susanin's Auctioneers & Appraisers,05/23/2018
Etude d'une paysanne cueillant des haricots,"$13,750","$4,000","$6,000",Signed Initials,"10.75"" x 8.75""",c. 1890-91,Charcoal / Paper,159,"Christie's New York, Rockefeller Center",05/16/2018
Paysage avec trois paysans,"$262,500","$100,000","$150,000",Signed and Dated,"12.13"" x 9.38""",1891,Gouache / Paper on board,164,"Christie's New York, Rockefeller Center",05/16/2018
"Le relais de poste sur la route de Versailles, Louveciennes",-not sold-,"$700,000","$1,000,000",Signed and Dated,"17.00"" x 21.50""",1871,Oil / Canvas,337,"Christie's New York, Rockefeller Center",05/16/2018
MAISON SUR LA FALAISE,"$41,250","$20,000","$30,000",Stamped,"7.63"" x 4.88""",c. 1883,Gouache  and pen and ink / Paper,119,Sotheby's New York,05/15/2018
VACHÈRE DANS UNE CLAIRIÈRE,"$175,000","$200,000","$300,000",Signed and Dated,"9.75"" x 8.13""",1890,"Gouache  , pastel and charcoal / Card",120,Sotheby's New York,05/15/2018
ENVIRONS DE ROUEN,"$68,750","$70,000","$90,000",Signed and Dated,"8.50"" x 10.50""",1883,Oil / Board,129,Sotheby's New York,05/15/2018
ALLÉE DANS UNE FÔRET,"$300,000","$250,000","$350,000",Signed Lower Left,"16.00"" x 13.13""",c. 1859,Oil / Canvas,391,Sotheby's New York,05/15/2018
LA CHARITÉ,-not sold-,"$400,000","$600,000",Signed and Dated,"22.25"" x 18.13""",1876,Oil / Canvas,395,Sotheby's New York,05/15/2018
Paysage,"$9,230","$10,000","$15,000",Signed Initials,"12.38"" x 18.88""",c.1865,Charcoal / Paper,326,"Skinner Inc, Boston",05/11/2018
Deux Femmes,-not sold-,"$3,000","$5,000",Stamped,"5.19"" x 10.38""",not given,Pastel / Paper,329,"Skinner Inc, Boston",05/11/2018
La récolte des pommes de terre,"$1,572,500","$700,000","$1,000,000",Signed and Dated,"11.25"" x 16.00""",1886,Gouache  over pencil / Silk,511,"Christie's New York, Rockefeller Center",05/10/2018
Félix Pissarro lisant,"$3,012,500","$900,000","$1,200,000",Signed and Dated,"18.00"" x 15.00""",1893,Oil / Canvas,524,"Christie's New York, Rockefeller Center",05/10/2018
Berger et église d'Eragny,"$187,500","$150,000","$250,000",Signed and Dated,"5.50"" x 7.63""",1889,Gouache  over pencil on silk laid down on panel / Panel,544,"Christie's New York, Rockefeller Center",05/10/2018
"Paysage avec peupliers, temps gris, Eragny","$4,812,500","$3,000,000","$5,000,000",Signed and Dated,"32.00"" x 25.63""",1899,Oil / Canvas,13,"Christie's New York, Rockefeller Center",05/08/2018
"LE PONT-ROYAL, APRÈS-MIDI, TEMPS COUVERT, 4E SÉRIE","$1,612,070","$1,160,600","$1,740,900",Signed and Dated,"19.92"" x 25.67""",1903,Oil / Canvas,204,Sotheby's Paris,03/23/2018
"PAYSAGE DANS UN CHAMP, LA VARENNE, SAINT-HILAIRE","$65,280","$58,030","$81,240",Stamped,"7.17"" x 13.94""",c. 1865,Oil / Canvas,222,Sotheby's Paris,03/23/2018
La mère de l'artiste (recto/verso),"$29,020","$8,120","$11,610",Stamped,"18.23"" x 12.28""",c. 1855-60,Charcoal  and chalk on tinted laid paper,83,Christie's Paris,03/22/2018
Matinée d'automne à Éragny,"$40,620","$29,020","$40,620",Signed and Dated,"5.04"" x 7.01""",1888,Watercolor / Paper,84,Christie's Paris,03/22/2018
Le Père Melon assis,"$24,660","$8,120","$11,610",Signed Initials,"5.00"" x 7.24""",c. 1879,Pastel  on etching base on paper,120,Christie's Paris,03/22/2018
Portrait de jeune garçon debout (recto) ; Esquisse d'un paysage rocheux planté de roseaux (verso),"$9,430","$3,481","$5,800",Signed and Dated,"6.81"" x 8.66""",1877,Pencil  and ink / Paper,144,Christie's Paris,03/21/2018
"Untitled, 1892",-not sold-,"$10,000","$15,000",Unavailable,Dimensions not available,not given,Pencil  and crayon / Paper,19,Trinity International Auctions & Appraisals LLC,03/03/2018
LA MAISON DE LA SOURDE ET LE CLOCHER D'ERAGNY,"$164,060","$131,250","$196,880",Signed Lower Left,"8.50"" x 6.14""",c. 1894,Oil  on canvas laid down on panel,162,"Sotheby's London, New Bond Street",03/01/2018
"LA CÔTE DES MATHURINS À L'HERMITAGE, PONTOISE",-not sold-,"$525,000","$787,500",Signed and Dated,"18.11"" x 22.05""",1876,Oil / Canvas,9,"Sotheby's London, New Bond Street",02/28/2018
"Paysannes dans les champs, Éragny",-not sold-,"$131,250","$196,880",Signed and Dated,"10.83"" x 21.77""",1890,Watercolor and gouache / Paper,262,"Christie's London, King Street",02/28/2018
Cité de Londres,"$3,504","$1,502","$2,503",Stamped,"6.30"" x 5.31""",not given,Charcoal / Paper,1066,"Piguet Hotel des Ventes, Geneve",12/13/2017
Paysage,-not sold-,n/a,n/a,Stamped,"5.00"" x 8.25""",not given,Watercolor and pencil / Paper,1936012,Susanin's Auctioneers & Appraisers,12/09/2017
Place du Grand Martroy,"$9,390","$4,005","$6,010",Signed Monogram,"8.54"" x 6.69""",not given,Colored Pencil / Paper,3206,"Galerie Koller, AG, Zurich",12/08/2017
Studies of figures and ships,"$5,630","$5,010","$7,010",unknown,"5.12"" x 8.54""",not given,Pencil / Paper,3208,"Galerie Koller, AG, Zurich",12/08/2017
Street study,-not sold-,"$4,005","$6,010",unknown,"8.54"" x 5.16""",not given,Pencil / Paper,3209,"Galerie Koller, AG, Zurich",12/08/2017
Studies of figures,"$4,381","$4,005","$6,010",unknown,"7.87"" x 5.16""",not given,Pencil / Paper,3210,"Galerie Koller, AG, Zurich",12/08/2017
Tête de cheval,-not sold-,"$1,740","$2,321",Signed Monogram,"3.35"" x 5.71""",not given,Pencil / Paper,27,AuctionART-Remy Le Fur & Associes,12/06/2017
Femme étendant du linge (Éragny),-not sold-,"$638,330","$754,390",Stamped,"28.94"" x 23.50""",1887,Oil / Canvas,32,Leclere Marseille,12/04/2017
Finistère,"$19,610","$11,610","$17,410",Signed and Dated,"24.02"" x 33.46""",1927,Oil / Canvas,33,Leclere Marseille,12/04/2017
Bananiers,"$6,040","$2,321","$3,481",Signed Lower Right,"10.83"" x 8.27""",not given,Pencil / Paper,22,"Tajan, Paris",11/29/2017
Portrait de Jeanne dite Minette fille de l'artiste,not,"$3,481","$4,642",Signed,"8.07"" x 6.89""",not given,Pencil / Paper,112,Aponem ( Aponem Deburaux),11/20/2017
Vue sur le village d'Osny,"$440,000","$352,000","$528,000",Signed and Dated,"21.77"" x 18.11""",1884,Oil / Canvas,109,Shinwa Art Auction,11/18/2017
GROUPE DE PERSONNES,-not sold-,"$10,000","$15,000",Stamped,"7.13"" x 9.25""",not given,Pencil  and ink wash / Paper,146,Sotheby's New York,11/15/2017
ÉTUDE DE POULETS,"$10,630","$3,000","$5,000",Stamped,"3.25"" x 5.75""",not given,Charcoal  and colored crayon / Paper,241,Sotheby's New York,11/15/2017
"LES COTEAUX DE GISORS, TEMPS GRIS","$531,000","$300,000","$400,000",Signed and Dated,"18.13"" x 21.63""",1885,Oil / Canvas,364,Sotheby's New York,11/15/2017
"LE LABOURAGE, BÉRELLES","$125,000","$30,000","$40,000",Signed Lower Left,"6.75"" x 9.75""",c. 1860,Oil / Panel,435,Sotheby's New York,11/15/2017
PAYSAGE,"$50,000","$12,000","$18,000",Stamped,"4.25"" x 10.13""",c. 1890-95,Watercolor  and charcoal on paper laid down on card,436,Sotheby's New York,11/15/2017
"JEANNE DITE COCOTTE, ET LUDOVIC RODOLPHE PISSARRO SUR UN TAPIS","$735,000","$800,000","$1,200,000",Stamped,"12.88"" x 16.13""",c. 1883,Oil / Canvas,41,Sotheby's New York,11/14/2017
"Les Arbres, Eragny","$35,000","$20,000","$30,000",Signed and Dated,"6.88"" x 9.88""",1890,Watercolor and pencil / Paper,165,"Christie's New York, Rockefeller Center",11/14/2017
Autoportrait (recto); Deux esquisses d'un âne (verso),"$13,750","$10,000","$15,000",Stamped,"10.50"" x 7.13""",c. 1852-54,Pencil / Paper,188,"Christie's New York, Rockefeller Center",11/14/2017
Homme à la verge (recto); Femme portant des fagots (verso),-not sold-,"$12,000","$18,000",Stamped,"18.75"" x 12.25""",c. 1888,Charcoal / Paper,189,"Christie's New York, Rockefeller Center",11/14/2017
Tête de garçon (recto); Portrait de fille dormant (verso),"$17,500","$10,000","$15,000",Signed Lower Left,"11.50"" x 8.63""",c. 1865-69,Charcoal  and white chalk / Paper,190,"Christie's New York, Rockefeller Center",11/14/2017
Marché à Gisors,"$47,500","$40,000","$60,000",Signed Initials,"9.00"" x 7.00""",c. 1885,Pastel  and charcoal / Paper,193,"Christie's New York, Rockefeller Center",11/14/2017
Etudes de vieille femme,"$3,000","$2,000","$3,000",Stamped,"8.50"" x 6.75""",not given,Pencil / Paper,195,"Christie's New York, Rockefeller Center",11/14/2017
Les coteaux de Gisors,-not sold-,"$800,000","$1,200,000",Signed and Dated,"21.13"" x 25.63""",1884,Oil / Canvas,349,"Christie's New York, Rockefeller Center",11/14/2017
"La Seine à Rouen, pont Boieldieu",-not sold-,"$500,000","$700,000",Signed and Dated,"21.50"" x 25.25""",1896,Oil / Canvas,425,"Christie's New York, Rockefeller Center",11/14/2017
Verger à Saint-Ouen-l'Aumône en hiver,"$1,152,500","$700,000","$1,000,000",Signed and Dated,"18.38"" x 22.00""",1877,Oil / Canvas,445,"Christie's New York, Rockefeller Center",11/14/2017
Gelée blanche à Eragny,"$250,000","$200,000","$300,000",Signed and Dated,"16.25"" x 13.00""",1902,Oil / Canvas,506,"Christie's New York, Rockefeller Center",11/14/2017
"Jardin de Kew, Londres, près d'un étang","$4,692,500","$3,000,000","$5,000,000",Signed and Dated,"18.25"" x 21.75""",1892,Oil / Canvas,17A,"Christie's New York, Rockefeller Center",11/13/2017
"Le Jardin des Tuileries, matinée de printemps",-not sold-,"$1,500,000","$2,000,000",Signed and Dated,"25.88"" x 36.50""",1899,Oil / Canvas,30A,"Christie's New York, Rockefeller Center",11/13/2017
"Le Pont-Neuf, effet de neige et brouillard","$1,272,500","$1,000,000","$1,500,000",Signed and Dated,"25.75"" x 31.88""",1902,Oil / Canvas,41A,"Christie's New York, Rockefeller Center",11/13/2017
Frau mit gesenktem Kopf. Verso: Stehender Frauenakt,-not sold-,"$8,120","$9,280",Stamped,"12.05"" x 10.16""",not given,Black chalk / Paper,175,Karl & Faber Kunstauktionen,11/10/2017
Studie einer liegenden Frau,-not sold-,"$6,380","$6,960",Stamped,"9.37"" x 12.17""",not given,Black chalk / Paper,176,Karl & Faber Kunstauktionen,11/10/2017
Paysanne balayant,"$3,922","$2,321","$3,481",Stamped,"6.42"" x 3.82""",not given,Pencil / Paper,6,Artcurial,10/31/2017
"Figure in front of hut, Palm Tree, Venezuela",-not sold-,"$10,780","$13,850",Unavailable,"7.99"" x 10.24""",c. 1854,Ink  and black lead / Paper,559,Lawsons,10/26/2017
Deux Femmes,"$1,875","$3,000","$5,000",Stamped,"7.88"" x 5.00""",not given,Pencil / Paper,533,"Christie's New York, Rockefeller Center",10/18/2017-10/19/2017
Deux Femmes,$625,"$4,000","$6,000",Stamped,"6.88"" x 11.88""",not given,Pencil  on paper laid down to paper,534,"Christie's New York, Rockefeller Center",10/18/2017-10/19/2017
Paysan (recto) and Paon (verso),"$1,250","$3,000","$5,000",Signed Initials,"5.50"" x 4.00""",not given,Pencil / Paper,535,"Christie's New York, Rockefeller Center",10/18/2017-10/19/2017
"""Cour de ferme à Eragny - Oise"".",-not sold-,"$2,047",n/a,Signed Lower Right,"5.91"" x 7.09""",not given,Pencil / Paper,221,Encheres Dogny,10/03/2017
Two Women at Market,"$13,530","$8,000","$10,000",Stamped,"8.63"" x 6.75""",not given,Watercolor  and charcoal / Paper,348,"Skinner Inc, Boston",09/27/2017
Paysage,"$3,900","$3,000","$5,000",Stamped,"4.88"" x 8.38""",not given,Black chalk on tan wove paper,51,Swann Galleries,09/19/2017
Homme assis,"$3,074",$945,"$1,182",Signed Lower Right,"5.12"" x 3.94""",not given,Pencil / Paper,123,"Tajan, Paris",09/19/2017
PAISAJE CON UN ÁRBOL,"$64,400","$20,160","$28,000",Signed and Dated,"5.91"" x 7.87""",1902,Pastel / Canvas on board,207,Morton Casa de Subastas,09/12/2017
Landscape,"$3,738","$1,780","$2,670",Unavailable,"7.99"" x 12.24""",not given,Pencil / Paper,797,Mainichi Auction Inc.,07/08/2017
Femme au baluchon,"$9,550","$7,640","$10,190",Stamped,"9.13"" x 7.20""",c.1880-84,Charcoal  and wash / Paper,262,"Christie's London, King Street",06/28/2017
"Soleil couchant, hiver","$327,370","$318,450","$445,830",Stamped,"15.55"" x 18.58""",c. 1885,Oil / Canvas,371,"Christie's London, King Street",06/28/2017
Coin du jardin à Éragny,"$174,510","$152,860","$229,280",Signed and Dated,"6.30"" x 8.66""",1899,Oil / Canvas,373,"Christie's London, King Street",06/28/2017
Baigneuse les pieds dans l'eau,"$189,800","$63,690","$89,170",Stamped,"8.74"" x 6.38""",c. 1896,Oil / Canvas,423,"Christie's London, King Street",06/28/2017
"Paysanne dans un champ, La Varenne-Saint-Hilaire",-not sold-,"$63,690","$101,900",Stamped,"7.09"" x 13.86""",c. 1865,Oil / Canvas,424,"Christie's London, King Street",06/28/2017
"La sente des Pouilleux, Pontoise","$847,080","$764,280","$1,146,420",Signed and Dated,"28.74"" x 23.70""",1878,Oil / Canvas,33,"Christie's London, King Street",06/27/2017
Paysage Sud Américain,"$3,856","$2,238","$3,358",Signed Lower Left,"8.46"" x 11.22""",not given,Pencil / Paper,129,Joron-Derem,06/23/2017
JEUNES PAYSANNES CAUSANT,"$57,320","$50,950","$76,430",Stamped,"23.03"" x 16.65""",1884,Pastel  and charcoal / Paper,383,"Sotheby's London, New Bond Street",06/22/2017
ETANG DE MONTFOUCAULT,-not sold-,"$76,430","$101,900",Signed Lower Right,"10.39"" x 14.80""",c. 1874-75,Pastel  and charcoal / Paper,385,"Sotheby's London, New Bond Street",06/22/2017
The goose,"$1,455",$671,$895,Stamped,"4.88"" x 3.54""",not given,Pencil / Paper,4,Millon & Associes,06/21/2017
Study of donkeys / Study of a donkey and his master,"$1,343","$1,343","$1,679",Artist's Seal,"9.25"" x 11.81""",not given,Charcoal / Paper,5,Millon & Associes,06/21/2017
LE REPOS SOUS LES ARBRES,-not sold-,"$2,292,840","$3,184,500",Signed and Dated,"29.25"" x 36.38""",1872,Oil / Canvas,61,"Sotheby's London, New Bond Street",06/21/2017
Horse head,-not sold-,"$2,238","$2,798",Stamped,"3.35"" x 5.71""",not given,Pencil / Paper,2,AuctionART-Remy Le Fur & Associes,06/16/2017
ÉTUDE POUR VACHÈRE AU BORD DE L'EAU,-not sold-,"$15,000","$20,000",Stamped,"10.50"" x 7.75""",c. 1890,Pencil / Paper,2,Sotheby's New York,06/08/2017
"""La Route de Marly, Louveciennes""",-not sold-,"$447,080","$670,620",Signed Lower Right,"12.80"" x 16.34""",1871,Oil / Canvas,186,Grisebach,05/31/2017
Effet de neige à Eragny,"$409,400","$334,200","$445,600",Stamped,"25.59"" x 21.26""",c. 1890,Oil / Canvas,5,Artcurial,05/30/2017
Paul-Emile écrivant,-not sold-,"$220,000","$280,000",Stamped,"18.13"" x 15.13""",c. 1894,Oil / Canvas,10,Bonhams New York,05/17/2017
VUE DE BAZINCOURT EN HIVER,-not sold-,"$400,000","$600,000",Signed and Dated,"18.13"" x 21.63""",1998,Oil / Canvas,197,Sotheby's New York,05/17/2017
FENAISON,-not sold-,"$400,000","$600,000",Signed Lower Right,"18.50"" x 24.38""",c.1901,Pastel  and colored crayon / Paper,200,Sotheby's New York,05/17/2017
FEMME CUEILLANT DES CHOUX,"$43,750","$20,000","$30,000",Stamped,"13.88"" x 10.13""",c.1890,Colored monotype / Paper,390,Sotheby's New York,05/17/2017
"BASSE-COUR À LA 'MAISON ROUGE', PONTOISE",-not sold-,"$600,000","$800,000",Signed and Dated,"21.50"" x 25.75""",1877,Oil / Canvas,398,Sotheby's New York,05/17/2017
"L'HERMITAGE EN ÉTÉ, PONTOISE",-not sold-,"$1,000,000","$1,500,000",Signed and Dated,"22.25"" x 36.00""",1877,Oil / Canvas,47,Sotheby's New York,05/16/2017
"Eragny, le soir","$18,750","$15,000","$20,000",Inscribed,"7.00"" x 5.00""",1890,Watercolor and pencil / Paper,166,"Christie's New York, Rockefeller Center",05/16/2017
Terrain labouré,-not sold-,"$30,000","$40,000",Signed Lower Left,"8.88"" x 11.50""",1888,Watercolor and pencil / Paper,167,"Christie's New York, Rockefeller Center",05/16/2017
Le pont Corneille à Rouen,"$10,630","$5,000","$7,000",Stamped,"4.50"" x 5.25""",not given,Chalk / Paper,168,"Christie's New York, Rockefeller Center",05/16/2017
"Gardeuse de vaches, étude pour un éventail","$12,500","$12,000","$18,000",Stamped,"13.38"" x 18.50""",c. 1886,Charcoal / Paper,170,"Christie's New York, Rockefeller Center",05/16/2017
Paysage à Hébécourt,"$25,000","$20,000","$30,000",Signed Lower Right,"5.13"" x 8.63""",1890,Watercolor  and charcoal / Paper,171,"Christie's New York, Rockefeller Center",05/16/2017
Femme se coiffant,"$463,500","$400,000","$600,000",Signed and Dated,"18.13"" x 15.13""",1894,Oil / Canvas,369,"Christie's New York, Rockefeller Center",05/16/2017
"La route de Saint-Germain, Louveciennes",-not sold-,"$1,500,000","$2,500,000",Signed Lower Right,"18.38"" x 21.75""",c. 1870,Oil / Canvas,38A,"Christie's New York, Rockefeller Center",05/15/2017
Prairie de Bazincourt,"$967,500","$1,000,000","$1,500,000",Signed and Dated,"18.13"" x 21.63""",1885,Oil / Canvas,46A,"Christie's New York, Rockefeller Center",05/15/2017
"Statue d'Henri IV, matin, soleil (2e série)","$3,487,500","$3,000,000","$4,000,000",Signed and Dated,"29.00"" x 36.38""",1902,Oil / Canvas,53A,"Christie's New York, Rockefeller Center",05/15/2017
FEMME ÉTENDANT DU LINGE,"$619,500","$478,170","$584,430",Signed Monogram,"28.74"" x 23.62""",1887,Oil / Canvas,7,Hampel Fine Art Auctions,04/29/2017
Paysanne balayant,-not sold-,"$3,735","$4,803",Stamped,"6.42"" x 3.82""",not given,Pencil / Paper,75,Artcurial,04/05/2017
Hafenszene mit Segelschiff,"$7,290","$4,803","$6,400",Signed Monogram,"5.12"" x 8.54""",not given,Pencil / Paper,150,"Dorotheum, Vienna",04/04/2017
"Vaches au pré, Pontoise au lointain.",-not sold-,"$42,700","$64,040",Signed Lower Left,"5.91"" x 21.46""",not given,Gouache / Paper,85,Drouot Estimations,03/31/2017
Paysanne de dos,"$4,269","$3,202","$4,269",Signed Monogram,"12.40"" x 8.46""",not given,Pencil / Paper,103,Boisgirard-Antonini (Paris),03/31/2017
La Roche,"$4,884","$2,668","$3,735",Signed and Dated,"8.86"" x 7.87""",1859,Pencil  and ink / Paper,1,Millon & Associes,03/29/2017
Étude pour la mare aux canards à Monfoucault,"$1,001",$426,$640,Unavailable,"16.73"" x 11.02""",not given,Pencil / Paper,181,Ader Nordmann,03/24/2017
